actor_id,first_name,last_name,dob,dod,movie_id,gender
1,Hugh,Grant,1960,NULL,1,M
2,Toni,Collette,1972,NULL,1,F
3,Robin,Williams,1951,2014,2,M
4,Scott,Weinger,1975,NULL,2,M
5,Naomi,Scott,1993,NULL,3,F
6,Will,Smith,1968,NULL,3,M
7,Paul,Rudd,1969,NULL,4,M
8,Evangeline,Lilly,1979,NULL,4,F
9,Paul,Rudd,1969,NULL,5,M
10,Evangeline,Lilly,1979,NULL,5,F
11,Robert,"Downey Jr.",1965,NULL,6,M
12,Chris,Evans,1981,NULL,6,M
13,Robert,"Downey Jr.",1965,NULL,7,M
14,Chris,Hemsworth,1983,NULL,7,M
15,Robert,"Downey Jr.",1965,NULL,8,M
16,Chris,Hemsworth,1983,NULL,8,M
17,Robert,"Downey Jr.",1965,NULL,9,M
18,Chris,Evans,1981,NULL,9,M
19,James,Cromwell,1940,NULL,10,M
20,Magda,Szubanski,1961,NULL,10,F
21,Tina,Fey,1970,NULL,11,F
22,Amy,Poehler,1971,NULL,11,F
23,Paige,O'Hara,1956,NULL,12,F
24,Bobby,Benson,1956,NULL,12,M
25,Emma,Watson,1990,NULL,13,F
26,Dan,Stevens,1982,NULL,13,M
27,Chadwick,Boseman,1976,2020,14,M
28,Michael,"B. Jordan",1987,NULL,14,M
29,Sandra,Bullock,1964,NULL,15,F
30,Tim,McGraw,1967,NULL,15,M
31,Matt,Damon,1970,NULL,16,M
32,Franka,Potente,1974,NULL,16,F
33,Matt,Damon,1970,NULL,17,M
34,Franka,Potente,1974,NULL,17,F
35,Matt,Damon,1970,NULL,18,M
36,Julia,Stiles,1981,NULL,18,F
37,Jeremy,Renner,1971,NULL,19,M
38,Rachel,Weisz,1970,NULL,19,F
39,Doris,Day,1922,2019,20,F
40,Howard,Keel,1919,2004,20,M
41,Chris,Evans,1981,NULL,21,M
42,Tommy,"Lee Jones",1946,NULL,21,M
43,Brie,Larson,1989,NULL,22,F
44,Samuel,"L. Jackson",1948,NULL,22,M
45,Tom,Hanks,1956,NULL,23,M
46,Helen,Hunt,1963,NULL,23,F
47,Gerard,Butler,1969,NULL,24,M
48,Jonny,Weston,1988,NULL,24,M
49,Ilene,Woods,1929,2010,25,F
50,Eleanor,Audley,1905,1991,25,F
51,Lily,James,1989,NULL,26,F
52,Richard,Madden,1986,NULL,26,F
53,Alicia,Silverstone,1976,NULL,27,F
54,Paul,Rudd,1969,NULL,27,M
55,Anthony,Gonzalez,2004,NULL,28,M
56,Gael,"Garcia Bernal",1978,NULL,28,M
57,Constance,Wu,1982,NULL,29,F
58,Henry,Golding,1987,NULL,29,M
59,Steve,Carell,1963,NULL,30,M
60,Dane,Cook,1972,NULL,30,M
61,Meryl,Streep,1949,NULL,31,F
62,Anne,Hathaway,1982,NULL,31,F
63,Benedict,Cumberbatch,1976,NULL,32,M
64,Rachel,McAdams,1978,NULL,32,F
65,Jim,Carrey,1962,NULL,33,M
66,Jeff,Daniels,1955,NULL,33,M
67,Anne,Hathaway,1982,NULL,34,F
68,Hugh,Dancy,1975,NULL,34,M
69,Gwenyth,Paltrow,1972,NULL,35,F
70,James,Cosmo,1947,NULL,35,M
71,Amy,Adams,1974,NULL,36,F
72,Patrick,Dempsey,1966,NULL,36,M
73,Drew,Barrymore,1975,NULL,37,F
74,Anjelica,Huston,1951,NULL,37,F
75,Drew,Barrymore,1975,NULL,38,F
76,Jimmy,Fallon,1974,NULL,38,M
77,Tom,Cruise,1962,NULL,39,M
78,Jack,Nicholson,1937,NULL,39,M
79,Kevin,Costner,1955,NULL,40,M
80,James,"Earl Jones",1931,NULL,40,M
81,Ethan,Hawke,1970,NULL,41,M
82,Uma,Thurman,1970,NULL,41,F
83,Anne,Hathaway,1982,NULL,42,F
84,Steve,Carell,1963,NULL,42,M
85,Leslie,Caron,1931,NULL,43,F
86,Louis,Jordan,1921,2015,43,M
87,Russell,Crowe,1964,NULL,44,M
88,Joaquin,Phoenix,1974,NULL,44,M
89,Hugh,Jackman,1968,NULL,45,M
90,Zac,Efron,1987,NULL,45,M
91,Mahershala,Ali,1974,NULL,46,M
92,Viggo,Mortensen,1958,NULL,46,M
93,Bill,Murray,1950,NULL,47,M
94,Andie,MacDowell,1958,NULL,47,F
95,Chris,Pratt,1979,NULL,48,M
96,Zoe,Saldana,1978,NULL,48,F
97,Chris,Pratt,1979,NULL,49,M
98,Zoe,Saldana,1978,NULL,49,F
99,Daniel,Radcliffe,1989,NULL,50,M
100,Emma,Watson,1990,NULL,50,F
101,Daniel,Radcliffe,1989,NULL,51,M
102,Emma,Watson,1990,NULL,51,F
103,Daniel,Radcliffe,1989,NULL,52,M
104,Emma,Watson,1990,NULL,52,F
105,Daniel,Radcliffe,1989,NULL,53,M
106,Emma,Watson,1990,NULL,53,F
107,Daniel,Radcliffe,1989,NULL,54,M
108,Emma,Watson,1990,NULL,54,F
109,Daniel,Radcliffe,1989,NULL,55,M
110,Emma,Watson,1990,NULL,55,F
111,Daniel,Radcliffe,1989,NULL,56,M
112,Emma,Watson,1990,NULL,56,F
113,Daniel,Radcliffe,1989,NULL,57,M
114,Emma,Watson,1990,NULL,57,F
115,Danny,Devito,1944,NULL,58,M
116,Tate,Donovan,1963,NULL,58,M
117,Taraji,"P. Henson",1970,NULL,59,F
118,Kevin,Costner,1955,NULL,59,M
119,Shia,LaBeouf,1986,NULL,60,M
120,Sigourney,Weaver,1949,NULL,60,F
121,Craig,"T. Nelson",1944,NULL,61,M
122,Holly,Hunter,1958,NULL,61,F
123,Craig,"T. Nelson",1944,NULL,62,M
124,Holly,Hunter,1958,NULL,62,F
125,Anne,Hathaway,1982,NULL,63,F
126,Robert,"De Niro",1943,NULL,63,M
127,Robert,"Downey Jr.",1965,NULL,64,M
128,Gwenyth,Paltrow,1972,NULL,64,F
129,Dwayne,Johnson,1972,NULL,65,M
130,Jack,Black,1969,NULL,65,M
131,Dwayne,Johnson,1972,NULL,66,M
132,Jack,Black,1969,NULL,66,M
133,Reese,Witherspoon,1976,NULL,67,F
134,Mark,Ruffalo,1967,NULL,67,M
135,Jack,Black,1969,NULL,68,M
136,Angelina,Jolie,1975,NULL,68,F
137,Jack,Black,1969,NULL,69,M
138,Angelina,Jolie,1975,NULL,69,F
139,Jack,Black,1969,NULL,70,M
140,Angelina,Jolie,1975,NULL,70,F
141,Emma,Stone,1988,NULL,71,F
142,Ryan,Gosling,1980,NULL,71,M
143,Reese,Witherspoon,1976,NULL,72,F
144,Jennifer,Coolidge,1961,NULL,72,F
145,Jeremy,Irons,1948,NULL,73,M
146,James,"Earl Jones",1931,NULL,73,M
147,Donald,Glover,1983,NULL,74,M
148,James,"Earl Jones",1931,NULL,74,M
149,Matt,Damon,1970,NULL,75,M
150,Jessica,Chastain,1977,NULL,75,F
151,Julie,Andrews,1935,NULL,76,F
152,Dick,"Van Dyke",1925,NULL,76,M
153,Emily,Blunt,1983,NULL,77,F
154,Lin-Manuel,Miranda,1980,NULL,77,M
155,Keanu,Reeves,1964,NULL,78,M
156,Laurence,Fishburne,1961,NULL,78,M
157,Kevin,Costner,1955,NULL,79,M
158,Carlos,Chalabi,1986,NULL,79,M
159,Lindsay,Lohan,1986,NULL,80,F
160,Rachel,McAdams,1978,NULL,80,F
161,Tom,Selleck,1945,NULL,81,M
162,Angela,Bassett,1958,NULL,81,F
163,Will,Ferrell,1967,NULL,82,M
164,Tina,Fey,1970,NULL,82,F
165,Sandra,Bullock,1964,NULL,83,F
166,Eric,Matthews,1963,NULL,83,M
167,Auli'i,Cravalho,2000,NULL,84,F
168,Dwayne,Johnson,1972,NULL,84,M
169,John,Goodman,1952,NULL,85,M
170,Billy,Crystal,1948,NULL,85,M
171,John,Goodman,1952,NULL,86,M
172,Billy,Crystal,1948,NULL,86,M
173,Drew,Barrymore,1975,NULL,87,F
174,Michael,Vartan,1968,NULL,87,M
175,Christian,Bale,1974,NULL,88,M
176,David,Moscow,1974,NULL,88,M
177,Jesse,Eisenberg,1983,NULL,89,M
178,Dave,Franco,1985,NULL,89,M
179,Jesse,Eisenberg,1983,NULL,90,M
180,Dave,Franco,1985,NULL,90,M
181,George,Clooney,1961,NULL,91,M
182,Brad,Pitt,1963,NULL,91,M
183,Hayley,Mills,1946,NULL,92,F
184,Maureen,O'Hara,1920,2015,92,F
185,Lindsay,Lohan,1986,NULL,93,F
